id,spcode,treatment,number_of_root_nodulation,nodule_count_lab,nodule_mass_in the lab,average_nodule_weight,estimated_nodule_mass_per_plant 
5,ec,ambientrain,25,7,0.011,0.001571429,0.039
6,ec,ambientrain,30,5,0.052,0.0104,0.312
7,ec,ambientrain,7,4,0.023,0.00575,0.04
8,ec,ambientrain,35,8,0.021,0.002625,0.092
9,ec,ambientrain_water_nutrients,11,3,0.047,0.015666667,0.172
10,ec,ambientrain_water_nutrients,49,14,0.042,0.003,0.147
11,ec,ambientrain_water_nutrients,29,14,0.068,0.004857143,0.141
12,ec,ambientrain_water_nutrients,57,9,0.055,0.006111111,0.348
13,ec,ambientrain_water,48,14,0.036,0.002571429,0.123
14,ec,ambientrain_water,17,4,0.043,0.01075,0.183
15,ec,ambientrain_water,55,9,0.038,0.004222222,0.232
16,ec,ambientrain_water,27,10,0.024,0.0024,0.065
17,ec,ambientrain_nutrients,29,10,0.114,0.0114,0.331
18,ec,ambientrain_nutrients,30,9,0.146,0.016222222,0.487
19,ec,ambientrain_nutrients,22,6,0.022,0.003666667,0.081
20,ec,ambientrain_nutrients,26,5,0.073,0.0146,0.38
105,gs,ambientrain,20,8,0.016,0.002,0.04
106,gs,ambientrain,27,13,0.027,0.002076923,0.056
107,gs,ambientrain,62,11,0.008,0.000727273,0.045
108,gs,ambientrain,26,7,0.017,0.002428571,0.063
109,gs,ambientrain_water_nutrients,26,10,0.022,0.0022,0.057
110,gs,ambientrain_water_nutrients,72,7,0.015,0.002142857,0.154
111,gs,ambientrain_water_nutrients,58,9,0.028,0.003111111,0.18
112,gs,ambientrain_water_nutrients,62,9,0.026,0.002888889,0.179
113,gs,ambientrain_water,16,6,0.025,0.004166667,0.067
114,gs,ambientrain_water,29,8,0.027,0.003375,0.098
115,gs,ambientrain_water,18,6,0.032,0.005333333,0.096
116,gs,ambientrain_water,18,8,0.015,0.001875,0.034
117,gs,ambientrain_nutrients,42,9,0.041,0.004555556,0.191
118,gs,ambientrain_nutrients,69,9,0.012,0.001333333,0.092
119,gs,ambientrain_nutrients,41,11,0.027,0.002454545,0.101
120,gs,ambientrain_nutrients,50,10,0.008,0.0008,0.04
125,dr,ambientrain,141,16,0.012,0.00075,0.106
126,dr,ambientrain,133,12,0.013,0.001083333,0.144
127,dr,ambientrain,113,18,0.031,0.001722222,0.195
128,dr,ambientrain,142,12,0.014,0.001166667,0.166
129,dr,ambientrain_water_nutrients,165,18,0.018,0.001,0.165
130,dr,ambientrain_water_nutrients,129,14,0.01,0.000714286,0.092
131,dr,ambientrain_water_nutrients,163,17,0.02,0.001176471,0.192
132,dr,ambientrain_water_nutrients,167,17,0.015,0.000882353,0.147
133,dr,ambientrain_water,104,11,0.013,0.001181818,0.123
134,dr,ambientrain_water,114,15,0.01,0.000666667,0.076
135,dr,ambientrain_water,112,13,0.022,0.001692308,0.19
136,dr,ambientrain_water,106,9,0.008,0.000888889,0.094
137,dr,ambientrain_nutrients,104,16,0.012,0.00075,0.078
138,dr,ambientrain_nutrients,94,10,0.018,0.0018,0.169
139,dr,ambientrain_nutrients,116,11,0.019,0.001727273,0.2
140,dr,ambientrain_nutrients,103,13,0.026,0.002,0.206
